id,year,gpa,course,reliance,quality.of.education,copy.paste,dup.quality.of.eduation,stress,info.recall,chat.length,false.info,outdated,timesaved,grade.improved
1,5th,Satisfactory,Theoretical Based;,45,1,3,2,1,3,5,3,No,65,30
2,3rd,Very Good,Theoretical Based;,5,1,1,3,1,4,4,2,No,60,50
3,4th,Very Good,Modeling Based;,60,1,4,2,1,4,3,4,No,80,70
4,4th,Very Good,Programming Based;,10,1,5,2,2,5,2,5,Yes,50,0
5,4th,Good,Theoretical Based;,90,1,3,1,1,1,2,3,No,80,50
6,4th,Good,Modeling Based;,35,1,4,2,2,2,1,3,No,50,0
7,4th,Good,Programming Based;,70,1,3,1,1,1,2,1,Yes,75,70
8,4th,Good,Theoretical Based;,80,1,4,1,2,2,4,2,No,90,60
9,4th,Very Good,Programming Based;,60,2,4,2,3,4,2,4,Yes,50,20
10,3rd,Very Good,Theoretical Based;,80,1,3,1,1,1,5,4,No,60,80
11,5th,Good,Theoretical Based;,70,2,3,3,3,2,2,2,Yes,60,60
12,2nd,Very Good,Modeling Based;,0,3,2,2,2,2,1,2,Yes,50,0
13,5th,Very Good,Programming Based:,10,3,4,3,3,2,3,2,No,60,50
14,5th,Good,Theoretical Based;,15,3,3,5,2,5,2,5,Yes,50,10
15,4th,Good,Mathematical Based;,50,3,1,2,2,2,2,2,Yes,89,80
16,2nd,Very Good,Theoretical Based;,30,1,3,1,1,1,1,3,No,30,10
17,5th,Good,Programming Based;,40,2,3,3,1,3,2,3,No,70,20
18,4th,Good,Programming Based;,75,3,4,2,1,3,4,3,No,70,50
19,4th,Good,Programming Based;,75,1,4,1,1,3,3,4,No,90,60
20,4th,Excellent,Programming Based;,90,2,4,2,1,5,2,1,No,80,0
21,5th,Good,Theoretical Based;,20,1,4,1,1,5,2,3,No,80,40
22,5th,Very Good,Programming Based;,90,1,3,1,2,2,3,2,Yes,40,0
23,2nd,Very Good,Theoretical Based;,30,4,3,3,3,4,5,5,No,5,0
24,5th,Good,Programming Based;,70,1,4,1,2,2,5,3,No,70,50
25,5th,Excellent,Programming Based;,5,4,3,5,2,5,3,4,No,73,20
26,4th,Good,Mathematical Based;,70,1,2,1,3,1,4,5,No,90,60
27,3rd,Excellent,Programming Based;,70,1,3,1,3,3,5,4,No,80,50
28,3rd,Very Good,Theoretical Based;,50,2,3,2,1,1,2,1,No,70,25
29,5th,Excellent,Programming Based;,70,1,3,1,1,2,3,2,No,100,20
30,4th,Excellent,Programming Based;,25,1,5,2,3,3,4,5,No,75,0
31,4th,Very Good,Mathematical Based;,40,3,4,2,2,3,4,1,No,60,20
32,5th,Excellent,Mathematical Based;,0,5,5,4,4,5,1,1,No,40,0
33,4th,Good,Theoretical Based;,30,1,3,1,3,2,3,2,No,75,50
34,4th,Good,Theoretical Based;,50,3,4,2,1,2,1,1,No,70,50
35,5th,Very Good,Theoretical Based;,10,3,3,4,4,5,1,3,Yes,0,0
36,5th,Good,Programming Based;,70,1,3,3,3,2,1,5,No,70,80
37,3rd,Very Good,Programming Based;,50,3,3,2,1,2,2,1,Yes,50,10
38,4th,Very Good,Mathematical Based;,50,1,3,3,1,2,3,1,No,70,30
39,3rd,Excellent,Theoretical Based;,80,4,1,5,5,3,4,2,No,60,20
40,4th,Very Good,Modeling Based;,60,1,3,1,2,1,1,1,Yes,70,100
41,3rd,Very Good,Theoretical Based;,20,2,3,2,2,4,5,2,No,80,20
42,4th,Good,Theoretical Based;,70,1,3,1,1,1,1,2,No,50,0
43,5th,Good,Programming Based;,60,2,5,2,2,2,3,5,No,30,30
44,3rd,Excellent,Programming Based;,60,1,3,1,1,2,3,2,No,90,10
45,3rd,Very Good,Programming Based;,60,2,3,1,1,1,5,3,Yes,70,40
46,5th,Good,Theoretical Based;,50,2,3,2,2,3,2,1,No,50,0
47,4th,Excellent,Theoretical Based;,25,2,3,2,1,3,2,3,No,50,50
48,4th,Good,Theoretical Based;,30,1,5,2,2,2,2,2,No,20,10
49,5th,Very Good,Theoretical Based;,25,3,4,2,3,4,2,3,No,40,10
50,3rd,Very Good,Theoretical Based;,80,1,4,1,3,1,5,1,No,60,30
51,4th,Good,Theoretical Based;,60,2,5,2,1,2,2,3,Yes,60,40
52,5th,Very Good,Modeling Based;,60,1,2,1,2,2,3,2,Yes,70,60
53,4th,Very Good,Theoretical Based;,40,3,3,2,4,2,3,2,Yes,60,0
54,3rd,Good,Modeling Based;,90,1,1,1,1,1,2,1,No,90,90
